,tissue,network,module,glucose,weight,insulin,triglyceride,mean
406,kidney,SIGNED,lightyellow,27,10.8,160.8,46.1,61.2
407,kidney,SIGNED,lightcyan,20.7,10.8,136,37.6,51.3
408,kidney,SIGNED,maroon,25.4,11.7,159.7,45.4,60.6
409,kidney,SIGNED,palevioletred3,26.7,10.6,161.7,47.9,61.7
410,kidney,SIGNED,navajowhite2,25.5,11.5,173.3,46.9,64.3
411,kidney,SIGNED,plum1,26.3,11.1,168.2,50.2,64
412,kidney,SIGNED,lightgreen,24.4,11.2,149.8,46.2,57.9
413,kidney,SIGNED,purple,23,10.6,127.1,46.9,51.9
414,kidney,SIGNED,midnightblue,18.5,9.4,110.6,32.6,42.8
415,kidney,SIGNED,pink,20.1,9.2,107.9,39.8,44.3
416,kidney,SIGNED,magenta,25.8,11.5,189.3,48.8,68.9
417,kidney,SIGNED,salmon4,24.7,10.7,124.7,42.7,50.7
418,kidney,SIGNED,thistle2,22.7,10.9,163.3,38.7,58.9
419,kidney,UNSIGNED,antiquewhite2,26.7,10.8,177.9,49.2,66.2
420,kidney,SIGNED,violet,27,11.2,162,52,63.1
421,kidney,SIGNED,white,24.8,10.7,176.8,43.3,63.9
422,kidney,SIGNED,sienna3,24,10.9,141,44.7,55.2
423,kidney,SIGNED,steelblue,23.4,10.8,148,39.8,55.5
424,kidney,SIGNED,thistle1,22.6,11.1,126.2,36.5,49.1
425,kidney,SIGNED,saddlebrown,24.3,11,164,43.8,60.8
426,kidney,SIGNED,yellowgreen,24.7,11.5,135.5,43.5,53.8
427,kidney,SIGNED,royalblue,24.1,11,143.3,40.2,54.7
428,kidney,SIGNED,skyblue3,28.8,11.4,176.7,57.7,68.6
429,kidney,SIGNED,skyblue,25.3,10.4,139.5,40.6,53.9
430,kidney,SIGNED,salmon,19.2,10,135.3,37.3,50.4
431,kidney,SIGNED,tan,21.5,10.1,139.5,39.6,52.7
432,kidney,SIGNED,red,24.7,11.5,186.1,46.2,67.1
433,kidney,SIGNED,yellow,20.7,10.9,142.4,40.9,53.7
434,kidney,SIGNED,turquoise,22.7,10.9,131.5,41.4,51.6
435,kidney,SIGNED,grey,26.1,11,197.1,50.4,71.2
436,kidney,SIGNED,all,24.1,10.7,190.1,45.8,67.7
437,kidney,UNSIGNED,brown2,22.5,10.4,143.3,47.3,55.9
438,kidney,UNSIGNED,darkmagenta,26.8,11.5,197,48.8,71
439,kidney,UNSIGNED,antiquewhite4,23.3,11.2,134.4,44.5,53.4
440,kidney,UNSIGNED,darkgrey,24.5,10.6,171.5,43.9,62.6
441,kidney,UNSIGNED,coral1,24.5,11.3,146.1,43.2,56.3
442,kidney,UNSIGNED,cyan,26.4,11.1,151.1,47.8,59.1
443,kidney,UNSIGNED,blue2,27.4,11.8,172.2,50,65.4
444,kidney,UNSIGNED,coral3,26,10.7,160.8,49.2,61.7
445,kidney,UNSIGNED,coral2,21.7,11.6,206.6,39.8,69.9
446,kidney,UNSIGNED,coral,26.4,11,166.3,49.9,63.4
447,kidney,UNSIGNED,darkorange,25.2,11.5,143.4,45.9,56.5
448,kidney,UNSIGNED,darkgreen,23.3,10.8,131.6,42.3,52
449,kidney,UNSIGNED,darkorange2,25.5,11,137.9,45.4,55
450,kidney,UNSIGNED,darkolivegreen4,26.4,11,178.6,49.6,66.4
451,kidney,UNSIGNED,darkolivegreen,25.8,9.6,177.4,44.8,64.4
452,kidney,UNSIGNED,bisque4,26.6,10.9,171.7,48.7,64.5
453,kidney,UNSIGNED,brown4,24.8,9.5,151.6,38,56
454,kidney,UNSIGNED,black,25,11.4,186.9,47.7,67.7
455,kidney,UNSIGNED,brown,25.5,11.1,166.6,46,62.3
456,kidney,UNSIGNED,blue,24.2,10.7,133.6,42.9,52.9
