Accession,module,tissue_origin,kME_module,multiple_tissues,transcript,gene_symbol,entrez_ID,numb_tissues
510060.Sugt1,black,islet,0.529173992,NO,,Sugt1,510060,1
511657.Pck2,black,islet,0.529073867,NO,,Pck2,511657,1
508702.Dicer1,black,islet,0.528816356,NO,,Dicer1,508702,1
10002898704.Mrpl55,black,islet,0.527059954,NO,,Mrpl55,10002898704,1
507322.Vps26b,black,islet,0.526842331,NO,,Vps26b,507322,1
10002912924.Dppa3,black,islet,0.526177789,NO,,Dppa3,10002912924,1
10002907743.Tfb2m,black,islet,0.52587883,NO,,Tfb2m,10002907743,1
10003116476.Alkbh8,black,islet,0.52534087,NO,,Alkbh8,10003116476,1
10002941397.Hspe1-ps5,black,islet,0.524504789,NO,,Hspe1-ps5,10002941397,1
497972.Atf4,black,islet,0.524486612,NO,,Atf4,497972,1
1477328.Clic4,black,islet,0.523683304,NO,,Clic4,1477328,1
10002900606.Lsm10,black,islet,0.523438981,NO,,Lsm10,10002900606,1
10002904829.Qser1,black,islet,0.522262139,NO,,Qser1,10002904829,1
519536.Ipp,black,islet,0.522068746,NO,,Ipp,519536,1
10002911041.2810004N23Rik,black,islet,0.521995137,NO,,2810004N23Rik,10002911041,1
503238.Agbl3,black,islet,0.521582835,NO,,Agbl3,503238,1
514777.Fbxo22,black,islet,0.521339256,NO,,Fbxo22,514777,1
10002899156.Paxx,black,islet,0.520762277,NO,,Paxx,10002899156,1
10002951912.Zfp760,black,islet,0.520320676,NO,,Zfp760,10002951912,1
10004036378.Snupn,black,islet,0.52022575,NO,,Snupn,10004036378,1
10004035929.Cep97,black,islet,0.51945656,NO,,Cep97,10004035929,1
510882.1700087I21Rik,black,islet,0.519205396,NO,,1700087I21Rik,510882,1
10002908902.Stradb,black,islet,0.517616798,NO,,Stradb,10002908902,1
518786.Tmem33,black,islet,0.517268613,NO,,Tmem33,518786,1
10002907552.Zfp14,black,islet,0.517130201,NO,,Zfp14,10002907552,1
10002918354.Cblb,black,islet,0.514909742,NO,,Cblb,10002918354,1
